# This MeasurementStore object was saved on 27/07/2014 4:42:04 PM

# _FirstTime.Ticks
635420760626509650
# _PreviousTime.Ticks
635420761240970109
# _Data
# Measure.Distance, Measure.TimeStamp.Ticks, Measure.SensorID, Measure.TimeStage, Curr.TimeReceived (time since last measurement in ms)
-1,635420760678015460,5,-19650765,12
-1,635420760678371890,1,-19650765,44
5.861274,635420760678509650,4,-19650765,3
-1,635420760678486850,2,-19650765,7
-1,635420760678692900,3,-19650765,11
6.048155,635420760678849690,6,-19650764,12
-1,635420760679075360,5,-19650764,27
218.0394,635420760679130340,1,-19650764,12
130.511,635420760679248960,2,-19650764,10
123.8682,635420760679414970,3,-19650764,7
171.1492,635420760679772780,5,-19650763,34
-1,635420760679812680,4,-19650763,6
-1,635420760680096440,6,-19650763,29
6.37095,635420760680009980,1,-19650763,0
148.5366,635420760680263600,2,-19650763,27
-1,635420760680653500,3,-19650763,28
-1,635420760680815600,4,-19650762,16
-1,635420760681073680,5,-19650762,22
-1,635420760681161390,6,-19650762,12
-1,635420760681344980,1,-19650762,27
-1,635420760681490850,2,-19650762,16
237.8828,635420760681642000,4,-19650762,2
-1,635420760681688620,3,-19650762,4
-1,635420760681979200,5,-19650761,29
-1,635420760682278550,6,-19650761,29
-1,635420760682309390,1,-19650761,13
139.3964,635420760682424110,3,-19650761,2
6.031166,635420760682509740,4,-19650761,10
-1,635420760682563800,2,-19650761,11
147.3473,635420760682758800,5,-19650760,9
113.335,635420760682908800,6,-19650760,15
38.34462,635420760683088140,1,-19650760,30
137.6635,635420760683253150,2,-19650760,16
-1,635420760683692940,3,-19650760,33
-1,635420760683818900,4,-19650759,12
5.861274,635420760683849620,6,-19650759,0
6.353961,635420760684010000,1,-19650759,27
-1,635420760684149450,5,-19650759,3
6.79568,635420760684180180,2,-19650759,13
-1,635420760684648650,3,-19650759,38
-1,635420760684815160,4,-19650758,22
-1,635420760685075320,5,-19650758,17
-1,635420760685159400,6,-19650758,8
123.0528,635420760685454350,3,-19650758,30
-1,635420760685376420,1,-19650758,2
-1,635420760685489390,2,-19650758,10
302,635420760685679860,4,-19650758,9
292.9618,635420760685844560,5,-19650757,14
-1,635420760686148610,6,-19650757,31
-1,635420760686309160,1,-19650757,27
258.7455,635420760686324430,2,-19650757,3
5.980198,635420760686509640,4,-19650757,6
-1,635420760686692970,3,-19650757,18
136.3723,635420760686922270,6,-19650756,23
-1,635420760687079900,5,-19650756,14
152.9368,635420760687155610,1,-19650756,25
-1,635420760687482830,2,-19650756,26
-1,635420760687648680,3,-19650756,6
5.861274,635420760687849610,6,-19650755,18
-1,635420760687924690,4,-19650755,10
-1,635420760688076060,5,-19650755,14
5.895252,635420760688009720,1,-19650755,3
126.8584,635420760688456270,3,-19650755,34
-1,635420760688478560,2,-19650755,12
-1,635420760688808530,4,-19650754,24
-1,635420760689153010,6,-19650754,33
122.5601,635420760689078260,1,-19650754,3
325.1563,635420760689363470,2,-19650754,87
-1,635420760689657630,3,-19650754,12
239.5137,635420760689642960,4,-19650754,0
-1,635420760690152410,6,-19650753,23
-1,635420760690370790,1,-19650753,6
6.778691,635420760690180110,2,-19650753,10
240.3462,635420760690524590,3,-19650753,11
5.623425,635420760690509490,4,-19650753,0
147.0245,635420760690928510,6,-19650752,30
-1,635420760691373350,1,-19650752,49
312.6353,635420760688856140,5,-19650754,0
-1,635420760690079570,5,-19650753,0
-1,635420760690978840,5,-19650752,0
-1,635420760691491080,2,-19650752,10
-1,635420760691687400,3,-19650752,9
-1,635420760691819110,4,-19650751,27
-1,635420760692376100,1,-19650751,53
-1,635420760692485230,2,-19650751,9
-1,635420760692648960,3,-19650751,7
-1,635420760692880070,4,-19650750,23
130.0693,635420760693248620,2,-19650750,47
-1,635420760693309500,1,-19650750,6
28.55884,635420760693398550,3,-19650750,1
213.6052,635420760693627790,4,-19650750,19
128.914,635420760694141400,1,-19650749,61
6.659766,635420760694180500,2,-19650749,3
5.776328,635420760694509630,4,-19650749,23
246.7342,635420760694526830,3,-19650749,3
6.387939,635420760695043420,1,-19650748,60
-1,635420760695483300,2,-19650748,45
-1,635420760695687240,3,-19650748,10
-1,635420760695819080,4,-19650747,12
-1,635420760696313140,1,-19650747,58
-1,635420760696649000,3,-19650747,24
-1,635420760696486750,2,-19650747,1
-1,635420760696815210,4,-19650746,23
161.1425,635420760697266880,2,-19650746,47
61.1781,635420760697417820,3,-19650746,5
-1,635420760697361780,1,-19650746,3
215.9158,635420760697629090,4,-19650746,31
6.540842,635420760698072910,1,-19650745,40
6.642777,635420760698180100,2,-19650745,9
5.94622,635420760698509600,4,-19650745,30
79.4415,635420760698526720,3,-19650745,0
-1,635420760699369840,1,-19650744,89
245.7828,635420760699524620,3,-19650744,4
-1,635420760699490830,2,-19650744,6
-1,635420760699813200,4,-19650743,21
-1,635420760700371800,1,-19650743,66
-1,635420760700485150,2,-19650743,11
-1,635420760700653790,3,-19650743,9
-1,635420760700815220,4,-19650742,12
5.895252,635420760691849580,6,-19650751,12
-1,635420760693161430,6,-19650750,1
-1,635420760694188100,6,-19650749,0
333.464,635420760691868460,5,-19650751,0
-1,635420760693079600,5,-19650750,0
-1,635420760693978750,5,-19650749,0
140.2968,635420760694924630,6,-19650748,13
142.3355,635420760694852890,5,-19650748,0
5.419555,635420760695849340,6,-19650747,1
-1,635420760697156350,6,-19650746,0
-1,635420760696084270,5,-19650747,0
-1,635420760698150320,6,-19650745,0
-1,635420760697075270,5,-19650746,0
137.2897,635420760698922720,6,-19650744,0
333.4131,635420760697868390,5,-19650745,0
5.929231,635420760699849610,6,-19650743,0
-1,635420760699080270,5,-19650744,0
-1,635420760699980840,5,-19650743,0
128.2854,635420760700844210,5,-19650742,0
108.544,635420760701065980,1,-19650742,7
328.741,635420760701367540,2,-19650742,33
-1,635420760701157860,6,-19650742,11
233.7034,635420760701639570,4,-19650742,2
-1,635420760701688420,3,-19650742,7
-1,635420760702074090,5,-19650741,37
6.319983,635420760702039530,1,-19650741,4
6.642777,635420760702180150,2,-19650741,15
-1,635420760702155010,6,-19650741,5
