# This MeasurementStore object was saved on 27/07/2014 4:24:05 PM

# _FirstTime.Ticks
635420749726319560
# _PreviousTime.Ticks
635420750453089133
# _Data
# Measure.Distance, Measure.TimeStamp.Ticks, Measure.SensorID, Measure.TimeStage, Curr.TimeReceived (time since last measurement in ms)
-1,635420749851808560,4,-19661591,37
-1,635420749851978830,5,-19661591,17
6.37095,635420749852073040,1,-19661591,4
-1,635420749852211570,6,-19661591,17
325.1053,635420749852363460,2,-19661591,15
234.7568,635420749852640240,4,-19661591,28
176.9765,635420749852776250,5,-19661590,12
-1,635420749852656700,3,-19661591,7
-1,635420749853148700,6,-19661590,30
6.642777,635420749853180140,2,-19661590,0
-1,635420749853313540,1,-19661590,13
5.810307,635420749853509660,4,-19661590,23
-1,635420749853689110,3,-19661590,25
175.2946,635420749853945210,6,-19661589,15
-1,635420749853983110,5,-19661589,4
-1,635420749854371760,1,-19661589,36
134.4695,635420749854421250,3,-19661589,8
-1,635420749854489550,2,-19661589,2
-1,635420749854816190,4,-19661588,35
5.912242,635420749854849660,6,-19661588,3
-1,635420749854978790,5,-19661588,16
141.2482,635420749855085270,1,-19661588,4
-1,635420749855407380,2,-19661588,32
8.749438,635420749855385090,3,-19661588,2
140.6706,635420749855754850,5,-19661587,36
-1,635420749855808510,4,-19661587,8
6.319983,635420749856073170,1,-19661587,20
-1,635420749856096400,6,-19661587,4
-1,635420749856482740,2,-19661587,36
-1,635420749856653280,3,-19661587,20
277.3996,635420749856665330,4,-19661587,1
147.3983,635420749857093060,1,-19661586,39
-1,635420749857079590,5,-19661586,1
-1,635420749857096930,6,-19661586,1
-1,635420749857480410,2,-19661586,36
5.861274,635420749857509700,4,-19661586,6
-1,635420749857689140,3,-19661586,18
-1,635420749857978750,5,-19661585,27
-1,635420749858312920,1,-19661585,30
-1,635420749858267310,6,-19661585,0
145.2746,635420749858427590,3,-19661585,16
-1,635420749858563800,2,-19661585,9
-1,635420749858812900,4,-19661584,31
154.6697,635420749858860280,5,-19661584,1
-1,635420749859148670,6,-19661584,29
-1,635420749859359570,1,-19661584,18
-1,635420749859485500,2,-19661584,14
-1,635420749859652880,3,-19661584,19
-1,635420749859814820,4,-19661583,16
151.2209,635420749859930980,6,-19661583,10
127.0452,635420749860076840,1,-19661583,11
-1,635420749860079550,5,-19661583,3
325.1393,635420749860363490,2,-19661583,25
238.7322,635420749860644290,4,-19661583,32
-1,635420749860690070,3,-19661583,8
5.94622,635420749860849650,6,-19661582,10
6.778691,635420749861073140,1,-19661582,19
-1,635420749861076370,5,-19661582,4
6.659766,635420749861180170,2,-19661582,6
129.6786,635420749861418410,3,-19661582,29
5.844285,635420749861509660,4,-19661582,11
332.9713,635420749861868200,5,-19661581,30
-1,635420749862153360,6,-19661581,28
-1,635420749862370000,1,-19661581,18
-1,635420749862491050,2,-19661581,11
-1,635420749862692380,3,-19661581,24
-1,635420749862818970,4,-19661580,13
-1,635420749862983090,5,-19661580,15
-1,635420749863155230,6,-19661580,17
-1,635420749863309340,1,-19661580,16
-1,635420749863572970,2,-19661580,25
-1,635420749863648790,3,-19661580,10
139.2435,635420749863923930,6,-19661579,26
-1,635420749863879680,4,-19661579,5
45.07235,635420749864091460,1,-19661579,8
-1,635420749864075830,5,-19661579,2
143.8475,635420749864256720,2,-19661579,14
140.9424,635420749864464840,3,-19661579,25
302.3908,635420749864680060,4,-19661579,21
148.8254,635420749864759670,5,-19661578,7
5.861274,635420749864849620,6,-19661578,8
4.587084,635420749865072920,1,-19661578,21
6.59181,635420749865180130,2,-19661578,9
6.048155,635420749865509680,4,-19661578,37
-1,635420749865686940,3,-19661578,18
-1,635420749866079670,5,-19661577,36
-1,635420749866103290,6,-19661577,5
-1,635420749866370040,1,-19661577,21
-1,635420749866490780,2,-19661577,12
-1,635420749866649100,3,-19661577,20
-1,635420749866888390,4,-19661576,25
-1,635420749867075540,5,-19661576,17
-1,635420749867160780,6,-19661576,8
-1,635420749867308970,1,-19661576,11
56.35318,635420749867415030,3,-19661576,16
-1,635420749867563630,2,-19661576,9
-1,635420749867809660,4,-19661575,30
319.8217,635420749867860420,5,-19661575,9
59.3093,635420749868076860,1,-19661575,13
-1,635420749868149630,6,-19661575,10
325.0714,635420749868363480,2,-19661575,18
277.4336,635420749868665360,4,-19661575,37
-1,635420749868653240,3,-19661575,0
159.5626,635420749868936000,6,-19661574,23
-1,635420749868982940,5,-19661574,5
-1,635420749869078670,1,-19661574,5
6.642777,635420749869180130,2,-19661574,10
5.827295,635420749869509620,4,-19661574,38
247.2778,635420749869527480,3,-19661574,3
5.878263,635420749869849630,6,-19661573,30
-1,635420749869979220,5,-19661573,12
-1,635420749870312910,1,-19661573,30
